id,nome,cognome,data_nascita,email,Matematica,Informatica,Italiano
1,Stefano,Rosso,2007-05-25,stefano.rosso@scuola.it,8,7,4
2,Ivan,Rossi,2006-11-01,ivan.rossi@scuola.it,6,8,5
3,Matteo,Ronco,2007-12-11,matteo.ronco@scuola.it,10,2,6
4,Carlo,Rossi,2004-03-29,carlo.rossi@scuola.it,6,5,7
5,Alex,Simonetti,2006-05-22,alex.simonetti@scuola.it,10,4,5
6,Luigi,Gallo,2004-10-17,luigi.gallo@scuola.it,2,8,2
7,Mario,Timo,2007-07-28,mario.timo@scuola.it,3,8,2
8,Stefano,Simonetti,2007-04-18,stefano.simonetti@scuola.it,5,7,2
9,Sara,Ferrari,2007-10-18,sara.ferrari@scuola.it,10,6,2
10,Marco,Gallo,2004-10-26,marco.gallo@scuola.it,4,8,6
11,Sara,Gallo,2005-06-29,sara.gallo@scuola.it,4,9,6
12,Matteo,Gallo,2006-10-18,matteo.gallo@scuola.it,7,6,3
13,Luigi,Fulgori,2008-07-02,luigi.fulgori@scuola.it,8,5,4
14,Peppe,Decaro,2008-06-19,peppe.decaro@scuola.it,2,8,2
15,Alex,Decaro,2004-11-21,alex.decaro@scuola.it,7,4,4
16,Michele,Gallo,2009-03-30,michele.gallo@scuola.it,4,6,10
17,Tommaso,Sesto,2004-06-15,tommaso.sesto@scuola.it,3,3,6
18,Alex,Ronco,2009-10-13,alex.ronco@scuola.it,3,8,7
19,Olga,Decaro,2005-02-05,olga.decaro@scuola.it,2,8,2
20,Luigi,Rosso,2009-09-09,luigi.rosso@scuola.it,2,9,5
21,Ivan,Bianchi,2009-05-22,ivan.bianchi@scuola.it,4,2,5
22,Matteo,Timo,2005-08-11,matteo.timo@scuola.it,2,2,5
23,Marco,Ferrari,2004-08-22,marco.ferrari@scuola.it,2,6,8
24,Tommaso,Timo,2005-05-14,tommaso.timo@scuola.it,8,2,5
25,Carlo,Gallo,2004-03-23,carlo.gallo@scuola.it,4,9,6
26,Carlo,Ronco,2008-08-27,carlo.ronco@scuola.it,10,4,9
27,Tommaso,Ronco,2007-12-30,tommaso.ronco@scuola.it,9,3,9
28,Peppe,Timo,2009-02-22,peppe.timo@scuola.it,9,10,7
29,Matteo,Bianchi,2009-06-28,matteo.bianchi@scuola.it,6,6,4
30,Mario,Sesto,2005-09-28,mario.sesto@scuola.it,5,10,9
